,ID,Education,Marital_Status,Has_child,Children,Cluster,Age_group,Income_group,Seniority_group,Wines_segment,Fruits_segment,Meat_segment,Fish_segment,Sweets_segment,Gold_segment
1716,10091,Postgraduate,Alone,Has child,1 child,Need attention,Mature,Medium to high income,Experienced customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
1717,7629,Postgraduate,In couple,Has child,2 children,Leaky bucket,Adult,Low income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
1718,10640,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1719,3498,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Medium to high income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer
1720,6742,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low income,Old customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
1721,1172,Postgraduate,In couple,No child,No child,Need attention,Adult,High income,Experienced customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
1722,569,Postgraduate,Alone,No child,No child,Stars,Young,High income,Discovering customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1723,4686,Postgraduate,Alone,No child,No child,Stars,Mature,High income,New customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer
1724,1381,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low to medium income,New customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
1725,2634,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low income,New customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
1726,10905,Postgraduate,In couple,Has child,2 children,High potential,Senior,Low to medium income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Non consumer,Non consumer
1727,1744,Undergraduate,Alone,Has child,1 child,High potential,Mature,Low income,Old customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
1728,1000,Postgraduate,In couple,Has child,2 children,Need attention,Mature,High income,Experienced customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
1729,3828,Postgraduate,In couple,Has child,1 child,Need attention,Senior,High income,Experienced customers,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
1730,8605,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,New customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
1731,10304,Postgraduate,In couple,No child,No child,High potential,Mature,Low income,Old customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer
1732,4351,Postgraduate,Alone,Has child,2 children,High potential,Senior,Low to medium income,Experienced customers,Low consumer,Low consumer,Low consumer,Non consumer,Non consumer,Frequent consumer
1733,10129,Postgraduate,In couple,No child,No child,Stars,Mature,High income,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1734,2499,Undergraduate,Alone,Has child,1 child,Need attention,Mature,High income,Experienced customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
1735,10092,Postgraduate,Alone,Has child,1 child,Need attention,Senior,High income,Experienced customers,Biggest consumer,Non consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
1736,7500,Postgraduate,Alone,Has child,2 children,Stars,Mature,High income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1737,5796,Postgraduate,In couple,No child,No child,Stars,Mature,High income,Discovering customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
1738,10556,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
1739,1064,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Discovering customers,Low consumer,Low consumer,Low consumer,Non consumer,Frequent consumer,Low consumer
1740,48,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Medium to high income,New customers,Frequent consumer,Low consumer,Low consumer,Non consumer,Low consumer,Frequent consumer
1741,7610,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low to medium income,Experienced customers,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
1742,263,Postgraduate,Alone,No child,No child,Leaky bucket,Senior,Low to medium income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
1743,10814,Postgraduate,In couple,No child,No child,Need attention,Senior,High income,Experienced customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
1744,9710,Postgraduate,Alone,Has child,1 child,Need attention,Mature,Medium to high income,Experienced customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
1745,9292,Postgraduate,In couple,No child,No child,Need attention,Senior,High income,Old customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer
1746,10250,Undergraduate,In couple,No child,No child,High potential,Senior,Low income,Old customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer
1747,7881,Postgraduate,In couple,No child,No child,Stars,Senior,Medium to high income,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
1748,5847,Postgraduate,Alone,Has child,1 child,Need attention,Mature,High income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
1749,737,Postgraduate,In couple,No child,No child,Need attention,Senior,High income,Experienced customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
1750,3571,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1751,7807,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low to medium income,Old customers,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
1752,3878,Undergraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low income,New customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
1753,5092,Postgraduate,Alone,Has child,1 child,High potential,Senior,Medium to high income,Experienced customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Non consumer,Frequent consumer
1754,2154,Postgraduate,Alone,Has child,2 children,High potential,Mature,Low income,Old customers,Low consumer,Non consumer,Low consumer,Frequent consumer,Low consumer,Low consumer
1755,5394,Undergraduate,Alone,Has child,2 children,High potential,Adult,Low income,Experienced customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
1756,3798,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,Discovering customers,Low consumer,Low consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
1757,3524,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
1758,5247,Postgraduate,In couple,Has child,2 children,Leaky bucket,Senior,Low to medium income,New customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
1759,5883,Postgraduate,In couple,Has child,1 child,Need attention,Mature,High income,Experienced customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer
1760,2118,Undergraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
1761,8812,Undergraduate,Alone,Has child,1 child,High potential,Adult,Low income,Experienced customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Non consumer,Frequent consumer
1762,6616,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
1763,2797,Postgraduate,In couple,Has child,1 child,Stars,Adult,High income,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
1764,4328,Undergraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
1765,9167,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Medium to high income,Experienced customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
1766,10560,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low to medium income,New customers,Low consumer,Low consumer,Low consumer,Non consumer,Non consumer,Low consumer
1767,2631,Postgraduate,In couple,No child,No child,Need attention,Adult,High income,Experienced customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
1768,8312,Undergraduate,In couple,No child,No child,Leaky bucket,Mature,Low income,New customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Low consumer
1769,5534,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Non consumer,Biggest consumer
1770,5093,Postgraduate,Alone,Has child,1 child,High potential,Mature,Low income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1771,7592,Postgraduate,In couple,No child,No child,High potential,Senior,Low to medium income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
1772,8895,Postgraduate,Alone,No child,No child,Need attention,Adult,High income,Old customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Non consumer,Frequent consumer
1773,8584,Postgraduate,In couple,No child,No child,Need attention,Senior,High income,Experienced customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
1774,2694,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,New customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Non consumer
1775,8910,Postgraduate,In couple,Has child,2 children,High potential,Senior,Low to medium income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Non consumer,Non consumer
1776,7433,Postgraduate,Alone,Has child,1 child,High potential,Adult,Low income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1777,164,Postgraduate,In couple,No child,No child,High potential,Adult,Low income,Old customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
1778,10477,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
1779,2681,Undergraduate,In couple,No child,No child,Stars,Adult,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
1780,5150,Undergraduate,Alone,Has child,1 child,High potential,Adult,Low income,Old customers,Non consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
1781,5283,Postgraduate,Alone,Has child,2 children,Leaky bucket,Adult,Low to medium income,New customers,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Low consumer,Frequent consumer
1782,9645,Postgraduate,In couple,No child,No child,Need attention,Mature,Medium to high income,Old customers,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
1783,10678,Postgraduate,In couple,Has child,1 child,Stars,Mature,High income,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1784,7261,Postgraduate,In couple,Has child,2 children,High potential,Mature,Low income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
1785,9648,Postgraduate,Alone,Has child,2 children,High potential,Mature,Low to medium income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
1786,2870,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low to medium income,Old customers,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
1787,8008,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low to medium income,Discovering customers,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
1788,1513,Undergraduate,In couple,Has child,2 children,Need attention,Adult,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
1789,6173,Postgraduate,In couple,Has child,1 child,Stars,Adult,High income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
1790,1419,Postgraduate,In couple,Has child,2 children,Leaky bucket,Senior,Low income,Discovering customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
1791,9150,Postgraduate,Alone,Has child,2 children,Leaky bucket,Mature,Low to medium income,New customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
1792,7960,Undergraduate,In couple,No child,No child,Stars,Mature,High income,Discovering customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
1793,1250,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low to medium income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
1794,9905,Postgraduate,In couple,Has child,2 children,High potential,Senior,Low income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Biggest consumer
1795,10691,Postgraduate,In couple,Has child,2 children,High potential,Mature,Low income,Experienced customers,Low consumer,Non consumer,Low consumer,Non consumer,Low consumer,Frequent consumer
1796,7002,Postgraduate,Alone,Has child,1 child,Stars,Senior,Medium to high income,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Non consumer,Biggest consumer,Frequent consumer
1797,2952,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low to medium income,New customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
1798,8439,Postgraduate,In couple,Has child,2 children,Stars,Mature,Medium to high income,New customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1799,762,Undergraduate,In couple,Has child,1 child,Stars,Adult,High income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
1800,2831,Postgraduate,In couple,Has child,1 child,Stars,Adult,High income,New customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
1801,6977,Postgraduate,In couple,Has child,1 child,Need attention,Mature,High income,Old customers,Biggest consumer,Non consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
1802,6289,Postgraduate,In couple,Has child,2 children,High potential,Senior,Medium to high income,Experienced customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Low consumer,Frequent consumer
1803,4168,Postgraduate,Alone,Has child,2 children,High potential,Mature,Low to medium income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
1804,8397,Postgraduate,In couple,Has child,2 children,Leaky bucket,Senior,Low to medium income,New customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Frequent consumer
1805,9284,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Medium to high income,Experienced customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Biggest consumer
1806,6237,Postgraduate,Alone,Has child,2 children,Leaky bucket,Mature,Low income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Biggest consumer
1807,3130,Postgraduate,Alone,Has child,2 children,High potential,Mature,Low income,Experienced customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
1808,1619,Postgraduate,In couple,No child,No child,Stars,Mature,High income,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
1809,1990,Postgraduate,Alone,No child,No child,Need attention,Mature,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
1810,5513,Postgraduate,In couple,Has child,2 children,High potential,Mature,Low to medium income,Old customers,Frequent consumer,Low consumer,Low consumer,Non consumer,Non consumer,Low consumer
1811,269,Postgraduate,Alone,Has child,1 child,Need attention,Mature,Low to medium income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Biggest consumer,Biggest consumer
1812,8093,Postgraduate,In couple,No child,No child,Stars,Mature,High income,New customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
1813,10513,Postgraduate,In couple,No child,No child,Need attention,Young,Medium to high income,Experienced customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1814,10177,Postgraduate,Alone,Has child,1 child,Need attention,Senior,High income,Experienced customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1815,2549,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low income,Discovering customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
1816,5782,Undergraduate,In couple,Has child,1 child,Stars,Adult,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
1817,10057,Postgraduate,Alone,No child,No child,Stars,Senior,High income,Discovering customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1818,10307,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1819,8566,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low income,New customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
1820,2415,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,New customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
1821,5684,Postgraduate,Alone,Has child,2 children,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
1822,8334,Postgraduate,Alone,Has child,2 children,Leaky bucket,Mature,Low income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
1823,9166,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer
1824,1440,Undergraduate,In couple,No child,No child,Need attention,Adult,Medium to high income,Old customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1825,78,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low income,Discovering customers,Low consumer,Non consumer,Low consumer,Non consumer,Low consumer,Low consumer
1826,5441,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
1827,5302,Postgraduate,In couple,No child,No child,Need attention,Adult,High income,Experienced customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
1828,4687,Postgraduate,In couple,No child,No child,Need attention,Mature,High income,Experienced customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Non consumer,Biggest consumer
1829,1087,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low income,Experienced customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1830,6859,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
1831,9860,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low to medium income,Experienced customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
1832,7129,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Medium to high income,Experienced customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1833,5866,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,New customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1834,10521,Postgraduate,In couple,Has child,2 children,Leaky bucket,Adult,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1835,7393,Postgraduate,In couple,Has child,2 children,High potential,Adult,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Non consumer,Low consumer
1836,7849,Postgraduate,In couple,No child,No child,Stars,Mature,High income,Discovering customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1837,332,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low to medium income,Experienced customers,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
1838,9847,Undergraduate,In couple,Has child,1 child,Need attention,Senior,Medium to high income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Biggest consumer
1839,531,Postgraduate,Alone,Has child,1 child,Need attention,Senior,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1840,9576,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low income,Experienced customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
1841,6906,Postgraduate,Alone,No child,No child,Need attention,Senior,High income,Experienced customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer
1842,7419,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low income,New customers,Low consumer,Low consumer,Frequent consumer,Non consumer,Low consumer,Low consumer
1843,3170,Postgraduate,In couple,No child,No child,Stars,Mature,Medium to high income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer
1844,8527,Postgraduate,In couple,Has child,2 children,Stars,Mature,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
1845,7872,Postgraduate,In couple,No child,No child,Need attention,Mature,High income,Old customers,Frequent consumer,Frequent consumer,Biggest consumer,Non consumer,Frequent consumer,Biggest consumer
1846,9931,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low income,New customers,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
1847,10595,Postgraduate,In couple,No child,No child,High potential,Adult,Low income,Experienced customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
1848,4609,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,New customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
1849,5010,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low income,New customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer,Low consumer
1850,4427,Undergraduate,Alone,No child,No child,Need attention,Young,High income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer
1851,11148,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low income,Experienced customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
1852,1168,Postgraduate,In couple,No child,No child,Need attention,Adult,High income,Old customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
1853,9595,Postgraduate,In couple,No child,No child,Need attention,Mature,Medium to high income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Non consumer,Frequent consumer
1854,10163,Postgraduate,Alone,No child,No child,Stars,Adult,High income,Discovering customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
1855,2886,Postgraduate,Alone,Has child,1 child,Stars,Mature,High income,Discovering customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
1856,6710,Postgraduate,Alone,Has child,3 children,High potential,Senior,Medium to high income,Old customers,Frequent consumer,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer
1857,5316,Postgraduate,In couple,No child,No child,High potential,Adult,Low income,Experienced customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
1858,9029,Postgraduate,In couple,No child,No child,Need attention,Mature,High income,Experienced customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
1859,521,Postgraduate,In couple,Has child,1 child,High potential,Adult,Medium to high income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Low consumer,Frequent consumer,Biggest consumer
1860,1459,Postgraduate,In couple,Has child,1 child,Need attention,Mature,High income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
1861,10241,Undergraduate,Alone,No child,No child,Leaky bucket,Mature,Low income,Discovering customers,Non consumer,Non consumer,Non consumer,Low consumer,Low consumer,Low consumer
1862,1630,Postgraduate,Alone,Has child,1 child,Stars,Adult,Medium to high income,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1863,3254,Postgraduate,In couple,Has child,1 child,Stars,Mature,High income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
1864,9064,Postgraduate,In couple,No child,No child,Need attention,Adult,High income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
1865,3678,Postgraduate,Alone,Has child,2 children,Need attention,Mature,Medium to high income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Biggest consumer
1866,4227,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low income,Discovering customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
1867,9467,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
1868,8486,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low income,Old customers,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
1869,2186,Undergraduate,In couple,No child,No child,Stars,Adult,High income,New customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1870,3286,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
1871,8602,Postgraduate,Alone,Has child,1 child,Need attention,Mature,High income,Experienced customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
